complaint_text,rating,date,source,product,company_size,user_id
Support is unhelpful and lacks product knowledge.,2,2023-08-03,capterra,Vision Helpdesk - Satellite Desk,,
Support is unhelpful and lacks product knowledge. We expected much better reliability.,1,2024-08-07,play_store,Vision Helpdesk - Service Desk,Mid-Market,
We had to wait days for a meaningful response. This has impacted our daily operations.,1,2024-10-05,play_store,Vision Helpdesk - Service Desk,Small Business,
Support is unhelpful and lacks product knowledge. We expected much better reliability.,1,2024-05-29,capterra,Vision Helpdesk - Live Chat,Enterprise,
We had to wait days for a meaningful response. It’s very frustrating to deal with.,2,2023-05-18,play_store,Vision Helpdesk - Satellite Desk,Enterprise,
We had to wait days for a meaningful response. It’s very frustrating to deal with.,2,2023-12-02,softwareadvice,Vision Helpdesk - Satellite Desk,Small Business,
Support is unhelpful and lacks product knowledge. This has impacted our daily operations.,1,2024-04-23,capterra,Vision Helpdesk - Live Chat,,
Support is unhelpful and lacks product knowledge. We expected much better reliability.,2,2024-01-14,g2,Vision Helpdesk - Satellite Desk,Enterprise,
Support team gives generic replies without solving issues. We expected much better reliability.,1,2023-04-12,capterra,Vision Helpdesk - Live Chat,,
Pricing is too high for the value provided. We expected much better reliability.,1,2023-07-15,play_store,Vision Helpdesk - Service Desk,Small Business,
Hidden charges increased our overall cost. We expected much better reliability.,1,2024-03-12,g2,Vision Helpdesk - Help Desk,Mid-Market,
Billing is confusing and not transparent. We expected much better reliability.,2,2024-04-06,capterra,Vision Helpdesk - Live Chat,Small Business,
Pricing is too high for the value provided. It’s very frustrating to deal with.,1,2024-01-02,g2,Vision Helpdesk - Help Desk,,
Hidden charges increased our overall cost. This has impacted our daily operations.,1,2023-01-23,g2,Vision Helpdesk - Help Desk,Enterprise,
Subscription cancellation process is frustrating. We expected much better reliability.,1,2024-03-23,play_store,Vision Helpdesk - Help Desk,Enterprise,
Pricing is too high for the value provided. This has impacted our daily operations.,1,2024-05-06,g2,Vision Helpdesk - Service Desk,Mid-Market,
Subscription cancellation process is frustrating. It’s very frustrating to deal with.,2,2023-10-18,g2,Vision Helpdesk - Satellite Desk,Enterprise,
Subscription cancellation process is frustrating. This has impacted our daily operations.,2,2023-03-07,capterra,Vision Helpdesk - Satellite Desk,Enterprise,
Subscription cancellation process is frustrating. We expected much better reliability.,1,2024-09-03,capterra,Vision Helpdesk - Satellite Desk,Enterprise,
Hidden charges increased our overall cost. This has impacted our daily operations.,2,2023-07-02,play_store,Vision Helpdesk - Live Chat,Mid-Market,
Billing is confusing and not transparent. We expected much better reliability.,1,2023-04-23,play_store,Vision Helpdesk - Service Desk,Mid-Market,
Hidden charges increased our overall cost. We expected much better reliability.,2,2024-01-10,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
Hidden charges increased our overall cost.,1,2023-03-02,capterra,Vision Helpdesk - Help Desk,Enterprise,
Subscription cancellation process is frustrating.,1,2023-07-04,softwareadvice,Vision Helpdesk - Satellite Desk,Mid-Market,
Hidden charges increased our overall cost. We expected much better reliability.,2,2023-02-20,play_store,Vision Helpdesk - Help Desk,Mid-Market,
Billing is confusing and not transparent. It’s very frustrating to deal with.,1,2024-01-23,capterra,Vision Helpdesk - Service Desk,Enterprise,
Hidden charges increased our overall cost. We expected much better reliability.,1,2024-05-08,softwareadvice,Vision Helpdesk - Live Chat,,
Pricing is too high for the value provided. We expected much better reliability.,2,2024-09-04,softwareadvice,Vision Helpdesk - Satellite Desk,Mid-Market,
Subscription cancellation process is frustrating.,2,2023-05-04,capterra,Vision Helpdesk - Satellite Desk,,
Subscription cancellation process is frustrating.,1,2024-01-28,play_store,Vision Helpdesk - Live Chat,Small Business,
We were charged incorrectly without explanation.,1,2024-03-13,g2,Vision Helpdesk - Help Desk,Enterprise,
Hidden charges increased our overall cost. It’s very frustrating to deal with.,2,2023-04-02,play_store,Vision Helpdesk - Help Desk,Mid-Market,
Hidden charges increased our overall cost. We expected much better reliability.,1,2023-04-16,softwareadvice,Vision Helpdesk - Help Desk,Enterprise,
Billing is confusing and not transparent. It’s very frustrating to deal with.,2,2023-05-21,g2,Vision Helpdesk - Help Desk,Small Business,
Hidden charges increased our overall cost. It’s very frustrating to deal with.,2,2024-11-16,softwareadvice,Vision Helpdesk - Service Desk,Small Business,
Subscription cancellation process is frustrating. We expected much better reliability.,1,2023-10-02,g2,Vision Helpdesk - Satellite Desk,,
We were charged incorrectly without explanation. We expected much better reliability.,2,2024-04-21,play_store,Vision Helpdesk - Service Desk,Mid-Market,
Billing is confusing and not transparent. This has impacted our daily operations.,1,2023-07-13,softwareadvice,Vision Helpdesk - Satellite Desk,Small Business,
Billing is confusing and not transparent. We expected much better reliability.,1,2024-06-01,g2,Vision Helpdesk - Help Desk,,
We were charged incorrectly without explanation. It’s very frustrating to deal with.,2,2023-06-04,g2,Vision Helpdesk - Service Desk,Small Business,
Subscription cancellation process is frustrating. It’s very frustrating to deal with.,1,2023-04-19,g2,Vision Helpdesk - Satellite Desk,Small Business,
Pricing is too high for the value provided. It’s very frustrating to deal with.,1,2023-06-29,g2,Vision Helpdesk - Satellite Desk,,
Pricing is too high for the value provided. We expected much better reliability.,2,2023-11-02,softwareadvice,Vision Helpdesk - Satellite Desk,Mid-Market,
Hidden charges increased our overall cost. We expected much better reliability.,1,2023-08-06,play_store,Vision Helpdesk - Service Desk,Mid-Market,
Billing is confusing and not transparent. We expected much better reliability.,2,2023-09-16,softwareadvice,Vision Helpdesk - Help Desk,Enterprise,
Subscription cancellation process is frustrating.,1,2023-06-14,capterra,Vision Helpdesk - Service Desk,Enterprise,
Pricing is too high for the value provided. We expected much better reliability.,1,2024-10-10,capterra,Vision Helpdesk - Satellite Desk,Small Business,
We were charged incorrectly without explanation. We expected much better reliability.,2,2024-08-09,play_store,Vision Helpdesk - Live Chat,,
Subscription cancellation process is frustrating. It’s very frustrating to deal with.,1,2024-09-20,softwareadvice,Vision Helpdesk - Help Desk,Mid-Market,
Hidden charges increased our overall cost. We expected much better reliability.,2,2023-12-27,softwareadvice,Vision Helpdesk - Satellite Desk,Mid-Market,
Billing is confusing and not transparent.,2,2024-04-29,play_store,Vision Helpdesk - Live Chat,Small Business,
Billing is confusing and not transparent.,2,2024-05-10,play_store,Vision Helpdesk - Satellite Desk,Mid-Market,
Subscription cancellation process is frustrating. It’s very frustrating to deal with.,1,2024-09-06,play_store,Vision Helpdesk - Help Desk,Small Business,
Subscription cancellation process is frustrating.,1,2023-07-04,softwareadvice,Vision Helpdesk - Service Desk,,
Pricing is too high for the value provided. This has impacted our daily operations.,1,2024-03-20,softwareadvice,Vision Helpdesk - Help Desk,Enterprise,
Hidden charges increased our overall cost.,2,2024-11-16,g2,Vision Helpdesk - Help Desk,Small Business,
Subscription cancellation process is frustrating.,1,2024-04-15,g2,Vision Helpdesk - Service Desk,Enterprise,
Pricing is too high for the value provided. This has impacted our daily operations.,2,2024-10-05,softwareadvice,Vision Helpdesk - Satellite Desk,Enterprise,
Billing is confusing and not transparent. We expected much better reliability.,2,2023-06-17,capterra,Vision Helpdesk - Satellite Desk,Small Business,
Billing is confusing and not transparent. We expected much better reliability.,2,2023-11-11,play_store,Vision Helpdesk - Help Desk,Enterprise,
We were charged incorrectly without explanation. We expected much better reliability.,1,2024-01-29,capterra,Vision Helpdesk - Help Desk,Enterprise,
Pricing is too high for the value provided.,1,2024-06-20,capterra,Vision Helpdesk - Help Desk,Small Business,
Subscription cancellation process is frustrating. We expected much better reliability.,1,2024-04-01,softwareadvice,Vision Helpdesk - Help Desk,Small Business,
Billing is confusing and not transparent. We expected much better reliability.,2,2023-12-02,capterra,Vision Helpdesk - Help Desk,Small Business,
Subscription cancellation process is frustrating.,2,2023-07-16,play_store,Vision Helpdesk - Live Chat,Mid-Market,
Pricing is too high for the value provided.,1,2023-04-08,g2,Vision Helpdesk - Live Chat,,
Hidden charges increased our overall cost.,2,2023-12-15,softwareadvice,Vision Helpdesk - Satellite Desk,Enterprise,
Subscription cancellation process is frustrating. This has impacted our daily operations.,2,2023-12-11,softwareadvice,Vision Helpdesk - Live Chat,Enterprise,
Subscription cancellation process is frustrating. This has impacted our daily operations.,2,2024-03-29,play_store,Vision Helpdesk - Satellite Desk,Enterprise,
Pricing is too high for the value provided.,1,2024-01-27,g2,Vision Helpdesk - Help Desk,Mid-Market,
We were charged incorrectly without explanation.,2,2024-12-22,softwareadvice,Vision Helpdesk - Help Desk,Mid-Market,
Subscription cancellation process is frustrating.,2,2023-06-29,play_store,Vision Helpdesk - Live Chat,,
Hidden charges increased our overall cost. It’s very frustrating to deal with.,1,2023-07-12,g2,Vision Helpdesk - Service Desk,Enterprise,
We were charged incorrectly without explanation. We expected much better reliability.,1,2024-09-20,capterra,Vision Helpdesk - Satellite Desk,Small Business,
We were charged incorrectly without explanation. This has impacted our daily operations.,2,2023-08-21,play_store,Vision Helpdesk - Satellite Desk,Small Business,
Pricing is too high for the value provided. We expected much better reliability.,1,2023-07-12,g2,Vision Helpdesk - Service Desk,Small Business,
Billing is confusing and not transparent.,1,2023-11-05,capterra,Vision Helpdesk - Service Desk,Mid-Market,
Billing is confusing and not transparent. We expected much better reliability.,2,2023-11-12,g2,Vision Helpdesk - Help Desk,Mid-Market,
Pricing is too high for the value provided. This has impacted our daily operations.,2,2023-09-04,play_store,Vision Helpdesk - Help Desk,Small Business,
Hidden charges increased our overall cost. It’s very frustrating to deal with.,1,2024-10-13,g2,Vision Helpdesk - Satellite Desk,Small Business,
Subscription cancellation process is frustrating. It’s very frustrating to deal with.,2,2024-07-02,g2,Vision Helpdesk - Satellite Desk,Mid-Market,
Hidden charges increased our overall cost. We expected much better reliability.,2,2023-09-14,play_store,Vision Helpdesk - Satellite Desk,Enterprise,
Pricing is too high for the value provided. This has impacted our daily operations.,1,2023-01-27,play_store,Vision Helpdesk - Service Desk,Small Business,
Pricing is too high for the value provided. This has impacted our daily operations.,1,2023-06-20,capterra,Vision Helpdesk - Satellite Desk,Enterprise,
Hidden charges increased our overall cost. This has impacted our daily operations.,2,2023-08-30,capterra,Vision Helpdesk - Service Desk,Mid-Market,
Hidden charges increased our overall cost. This has impacted our daily operations.,2,2023-01-24,g2,Vision Helpdesk - Help Desk,,
Billing is confusing and not transparent.,1,2023-10-15,softwareadvice,Vision Helpdesk - Help Desk,Mid-Market,
Hidden charges increased our overall cost. It’s very frustrating to deal with.,2,2023-12-19,g2,Vision Helpdesk - Satellite Desk,Small Business,
Hidden charges increased our overall cost. This has impacted our daily operations.,1,2023-11-12,softwareadvice,Vision Helpdesk - Live Chat,,
Hidden charges increased our overall cost. This has impacted our daily operations.,2,2024-08-13,capterra,Vision Helpdesk - Service Desk,,
Subscription cancellation process is frustrating. It’s very frustrating to deal with.,1,2023-02-21,softwareadvice,Vision Helpdesk - Live Chat,Small Business,
Subscription cancellation process is frustrating. This has impacted our daily operations.,2,2024-04-20,capterra,Vision Helpdesk - Satellite Desk,Enterprise,
We were charged incorrectly without explanation. This has impacted our daily operations.,2,2023-12-24,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
We were charged incorrectly without explanation. We expected much better reliability.,1,2023-01-23,capterra,Vision Helpdesk - Live Chat,Enterprise,
We were charged incorrectly without explanation. We expected much better reliability.,1,2024-09-26,play_store,Vision Helpdesk - Live Chat,Small Business,
Subscription cancellation process is frustrating. We expected much better reliability.,1,2023-05-24,g2,Vision Helpdesk - Satellite Desk,Mid-Market,
We were charged incorrectly without explanation. This has impacted our daily operations.,1,2023-10-10,softwareadvice,Vision Helpdesk - Service Desk,,
Hidden charges increased our overall cost.,2,2024-06-20,capterra,Vision Helpdesk - Service Desk,,
Hidden charges increased our overall cost.,1,2024-11-11,g2,Vision Helpdesk - Service Desk,Enterprise,
We were charged incorrectly without explanation.,1,2024-12-02,capterra,Vision Helpdesk - Help Desk,Mid-Market,
Billing is confusing and not transparent. This has impacted our daily operations.,1,2024-02-08,capterra,Vision Helpdesk - Satellite Desk,Mid-Market,
Subscription cancellation process is frustrating.,2,2024-05-13,play_store,Vision Helpdesk - Service Desk,Small Business,
Hidden charges increased our overall cost.,1,2023-01-07,play_store,Vision Helpdesk - Live Chat,Mid-Market,
Hidden charges increased our overall cost.,1,2023-04-18,softwareadvice,Vision Helpdesk - Live Chat,Enterprise,
We were charged incorrectly without explanation.,2,2023-09-20,g2,Vision Helpdesk - Help Desk,,
Hidden charges increased our overall cost. This has impacted our daily operations.,1,2024-12-10,g2,Vision Helpdesk - Satellite Desk,Enterprise,
Hidden charges increased our overall cost. It’s very frustrating to deal with.,2,2024-01-08,capterra,Vision Helpdesk - Live Chat,Enterprise,
Pricing is too high for the value provided.,1,2023-12-13,play_store,Vision Helpdesk - Service Desk,,
Hidden charges increased our overall cost. We expected much better reliability.,2,2023-02-03,play_store,Vision Helpdesk - Satellite Desk,Mid-Market,
Subscription cancellation process is frustrating. We expected much better reliability.,2,2024-10-29,g2,Vision Helpdesk - Help Desk,Mid-Market,
We were charged incorrectly without explanation.,1,2024-06-21,softwareadvice,Vision Helpdesk - Service Desk,Enterprise,
Pricing is too high for the value provided. This has impacted our daily operations.,2,2024-07-03,play_store,Vision Helpdesk - Live Chat,Small Business,
Hidden charges increased our overall cost. We expected much better reliability.,2,2023-09-24,capterra,Vision Helpdesk - Service Desk,Mid-Market,
Hidden charges increased our overall cost. This has impacted our daily operations.,1,2024-10-14,play_store,Vision Helpdesk - Satellite Desk,Mid-Market,
We were charged incorrectly without explanation. We expected much better reliability.,1,2024-12-26,capterra,Vision Helpdesk - Satellite Desk,Small Business,
Pricing is too high for the value provided. This has impacted our daily operations.,2,2024-02-25,softwareadvice,Vision Helpdesk - Help Desk,Small Business,
Billing is confusing and not transparent.,1,2023-08-27,capterra,Vision Helpdesk - Service Desk,Mid-Market,
Subscription cancellation process is frustrating.,2,2024-05-30,capterra,Vision Helpdesk - Help Desk,Mid-Market,
Pricing is too high for the value provided.,2,2023-08-16,capterra,Vision Helpdesk - Help Desk,,
Pricing is too high for the value provided. It’s very frustrating to deal with.,2,2023-02-05,play_store,Vision Helpdesk - Service Desk,Mid-Market,
Pricing is too high for the value provided. It’s very frustrating to deal with.,2,2023-08-13,g2,Vision Helpdesk - Live Chat,Mid-Market,
Subscription cancellation process is frustrating.,2,2024-01-29,play_store,Vision Helpdesk - Live Chat,Small Business,
Billing is confusing and not transparent. We expected much better reliability.,1,2023-04-14,play_store,Vision Helpdesk - Satellite Desk,,
Pricing is too high for the value provided. It’s very frustrating to deal with.,1,2023-08-03,softwareadvice,Vision Helpdesk - Help Desk,Mid-Market,
Pricing is too high for the value provided. This has impacted our daily operations.,1,2023-12-20,play_store,Vision Helpdesk - Satellite Desk,Small Business,
We were charged incorrectly without explanation. This has impacted our daily operations.,2,2023-05-01,softwareadvice,Vision Helpdesk - Live Chat,Mid-Market,
We were charged incorrectly without explanation.,2,2024-06-02,g2,Vision Helpdesk - Satellite Desk,Small Business,
Pricing is too high for the value provided. This has impacted our daily operations.,1,2024-09-24,play_store,Vision Helpdesk - Help Desk,,
Subscription cancellation process is frustrating. This has impacted our daily operations.,1,2024-01-30,g2,Vision Helpdesk - Satellite Desk,Small Business,
Loading tickets takes too much time. We expected much better reliability.,2,2023-12-26,softwareadvice,Vision Helpdesk - Satellite Desk,,
Interface is laggy and inefficient.,2,2023-10-23,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
The platform is very slow during peak hours. We expected much better reliability.,2,2024-09-25,play_store,Vision Helpdesk - Live Chat,,
System performance drops with more users. It’s very frustrating to deal with.,2,2023-07-11,softwareadvice,Vision Helpdesk - Satellite Desk,,
System performance drops with more users. It’s very frustrating to deal with.,1,2024-12-23,play_store,Vision Helpdesk - Help Desk,Mid-Market,
Reports take too long to generate. We expected much better reliability.,2,2024-02-18,capterra,Vision Helpdesk - Service Desk,Mid-Market,
Loading tickets takes too much time. This has impacted our daily operations.,1,2023-01-30,play_store,Vision Helpdesk - Help Desk,Enterprise,
Interface is laggy and inefficient. We expected much better reliability.,2,2024-07-22,softwareadvice,Vision Helpdesk - Satellite Desk,,
Reports take too long to generate. It’s very frustrating to deal with.,2,2024-08-01,play_store,Vision Helpdesk - Satellite Desk,Small Business,
Reports take too long to generate. It’s very frustrating to deal with.,1,2023-07-12,g2,Vision Helpdesk - Help Desk,Enterprise,
Loading tickets takes too much time. It’s very frustrating to deal with.,1,2024-09-17,capterra,Vision Helpdesk - Help Desk,Enterprise,
Reports take too long to generate. It’s very frustrating to deal with.,2,2024-07-16,play_store,Vision Helpdesk - Satellite Desk,,
The platform is very slow during peak hours.,1,2023-02-11,capterra,Vision Helpdesk - Satellite Desk,Mid-Market,
System performance drops with more users.,1,2024-12-18,capterra,Vision Helpdesk - Service Desk,,
System performance drops with more users.,1,2024-10-23,g2,Vision Helpdesk - Satellite Desk,Small Business,
The platform is very slow during peak hours. We expected much better reliability.,1,2024-02-09,softwareadvice,Vision Helpdesk - Service Desk,Enterprise,
System performance drops with more users. This has impacted our daily operations.,1,2024-09-23,play_store,Vision Helpdesk - Service Desk,,
Reports take too long to generate. We expected much better reliability.,1,2023-05-15,play_store,Vision Helpdesk - Satellite Desk,Small Business,
The platform is very slow during peak hours. We expected much better reliability.,1,2024-04-22,play_store,Vision Helpdesk - Live Chat,,
System performance drops with more users. We expected much better reliability.,2,2023-08-21,play_store,Vision Helpdesk - Satellite Desk,Enterprise,
Interface is laggy and inefficient. This has impacted our daily operations.,1,2023-12-31,capterra,Vision Helpdesk - Live Chat,Enterprise,
The platform is very slow during peak hours.,2,2023-04-21,softwareadvice,Vision Helpdesk - Satellite Desk,Mid-Market,
Interface is laggy and inefficient. This has impacted our daily operations.,1,2024-10-04,g2,Vision Helpdesk - Satellite Desk,Enterprise,
The platform is very slow during peak hours. This has impacted our daily operations.,2,2024-04-24,play_store,Vision Helpdesk - Live Chat,Small Business,
Interface is laggy and inefficient. We expected much better reliability.,1,2023-08-11,g2,Vision Helpdesk - Help Desk,Mid-Market,
The platform is very slow during peak hours. We expected much better reliability.,1,2024-08-09,capterra,Vision Helpdesk - Service Desk,Enterprise,
The platform is very slow during peak hours. We expected much better reliability.,2,2023-05-06,softwareadvice,Vision Helpdesk - Service Desk,Small Business,
Reports take too long to generate. This has impacted our daily operations.,2,2024-06-07,softwareadvice,Vision Helpdesk - Satellite Desk,Mid-Market,
Interface is laggy and inefficient. This has impacted our daily operations.,2,2023-05-28,play_store,Vision Helpdesk - Service Desk,Mid-Market,
System performance drops with more users. This has impacted our daily operations.,2,2024-09-30,play_store,Vision Helpdesk - Satellite Desk,Enterprise,
System performance drops with more users. This has impacted our daily operations.,2,2024-11-01,capterra,Vision Helpdesk - Help Desk,Mid-Market,
Interface is laggy and inefficient. We expected much better reliability.,1,2024-09-27,play_store,Vision Helpdesk - Help Desk,Small Business,
Interface is laggy and inefficient.,1,2023-03-27,capterra,Vision Helpdesk - Service Desk,,
Interface is laggy and inefficient. This has impacted our daily operations.,1,2023-11-16,capterra,Vision Helpdesk - Service Desk,Small Business,
Loading tickets takes too much time. We expected much better reliability.,1,2024-09-06,capterra,Vision Helpdesk - Live Chat,,
Reports take too long to generate. We expected much better reliability.,2,2023-07-25,softwareadvice,Vision Helpdesk - Help Desk,,
Reports take too long to generate. This has impacted our daily operations.,2,2024-03-23,capterra,Vision Helpdesk - Live Chat,Small Business,
The platform is very slow during peak hours. It’s very frustrating to deal with.,2,2023-02-13,capterra,Vision Helpdesk - Live Chat,,
Interface is laggy and inefficient.,2,2023-02-02,softwareadvice,Vision Helpdesk - Satellite Desk,Enterprise,
Interface is laggy and inefficient. This has impacted our daily operations.,1,2023-12-22,play_store,Vision Helpdesk - Help Desk,Mid-Market,
Loading tickets takes too much time. We expected much better reliability.,2,2024-04-27,capterra,Vision Helpdesk - Satellite Desk,Small Business,
System performance drops with more users. We expected much better reliability.,2,2024-01-08,g2,Vision Helpdesk - Live Chat,Mid-Market,
Loading tickets takes too much time.,1,2023-02-16,g2,Vision Helpdesk - Live Chat,,
Interface is laggy and inefficient. We expected much better reliability.,1,2024-03-14,capterra,Vision Helpdesk - Live Chat,Enterprise,
System performance drops with more users. We expected much better reliability.,1,2023-11-07,g2,Vision Helpdesk - Satellite Desk,,
System performance drops with more users. This has impacted our daily operations.,1,2023-06-02,softwareadvice,Vision Helpdesk - Satellite Desk,Enterprise,
Interface is laggy and inefficient. This has impacted our daily operations.,1,2024-04-05,play_store,Vision Helpdesk - Help Desk,,
Interface is laggy and inefficient. It’s very frustrating to deal with.,2,2024-12-04,g2,Vision Helpdesk - Live Chat,,
Loading tickets takes too much time. This has impacted our daily operations.,1,2024-12-21,g2,Vision Helpdesk - Service Desk,Mid-Market,
Reports take too long to generate. We expected much better reliability.,2,2023-11-30,g2,Vision Helpdesk - Live Chat,Mid-Market,
The platform is very slow during peak hours. We expected much better reliability.,2,2023-02-28,softwareadvice,Vision Helpdesk - Live Chat,Mid-Market,
Interface is laggy and inefficient. We expected much better reliability.,1,2024-11-02,softwareadvice,Vision Helpdesk - Help Desk,,
Reports take too long to generate.,1,2024-09-21,softwareadvice,Vision Helpdesk - Service Desk,Mid-Market,
Reports take too long to generate. This has impacted our daily operations.,1,2024-02-11,g2,Vision Helpdesk - Live Chat,Enterprise,
Loading tickets takes too much time. We expected much better reliability.,1,2024-08-28,capterra,Vision Helpdesk - Live Chat,Mid-Market,
Loading tickets takes too much time.,1,2024-03-18,softwareadvice,Vision Helpdesk - Help Desk,Small Business,
Loading tickets takes too much time.,2,2024-07-21,softwareadvice,Vision Helpdesk - Help Desk,Mid-Market,
Reports take too long to generate. It’s very frustrating to deal with.,1,2024-03-05,g2,Vision Helpdesk - Help Desk,Mid-Market,
Reports take too long to generate.,1,2024-10-09,capterra,Vision Helpdesk - Satellite Desk,Mid-Market,
System performance drops with more users. We expected much better reliability.,2,2024-12-22,capterra,Vision Helpdesk - Service Desk,,
Loading tickets takes too much time. It’s very frustrating to deal with.,1,2024-10-04,play_store,Vision Helpdesk - Help Desk,Enterprise,
The platform is very slow during peak hours.,1,2023-09-16,g2,Vision Helpdesk - Help Desk,Small Business,
Interface is laggy and inefficient. We expected much better reliability.,1,2024-05-20,capterra,Vision Helpdesk - Satellite Desk,Mid-Market,
System performance drops with more users. We expected much better reliability.,2,2024-09-13,play_store,Vision Helpdesk - Help Desk,Small Business,
System performance drops with more users.,2,2024-07-27,g2,Vision Helpdesk - Service Desk,,
The platform is very slow during peak hours.,1,2024-08-26,capterra,Vision Helpdesk - Satellite Desk,Small Business,
The platform is very slow during peak hours. We expected much better reliability.,1,2024-10-17,g2,Vision Helpdesk - Service Desk,Mid-Market,
The platform is very slow during peak hours. This has impacted our daily operations.,2,2023-04-12,capterra,Vision Helpdesk - Live Chat,Enterprise,
Reports take too long to generate. This has impacted our daily operations.,1,2024-11-02,g2,Vision Helpdesk - Satellite Desk,Small Business,
Loading tickets takes too much time.,1,2024-01-07,g2,Vision Helpdesk - Live Chat,Small Business,
Reports take too long to generate. It’s very frustrating to deal with.,1,2023-09-03,capterra,Vision Helpdesk - Satellite Desk,Mid-Market,
Reports take too long to generate. It’s very frustrating to deal with.,1,2023-05-14,g2,Vision Helpdesk - Satellite Desk,,
Loading tickets takes too much time. It’s very frustrating to deal with.,1,2024-04-03,g2,Vision Helpdesk - Live Chat,Mid-Market,
Loading tickets takes too much time.,2,2023-06-04,capterra,Vision Helpdesk - Live Chat,Small Business,
System performance drops with more users. We expected much better reliability.,1,2023-01-04,capterra,Vision Helpdesk - Satellite Desk,Mid-Market,
Reports take too long to generate. We expected much better reliability.,2,2024-06-15,g2,Vision Helpdesk - Help Desk,,
Interface is laggy and inefficient. It’s very frustrating to deal with.,2,2024-08-23,g2,Vision Helpdesk - Live Chat,Mid-Market,
Loading tickets takes too much time. We expected much better reliability.,1,2023-05-20,g2,Vision Helpdesk - Service Desk,,
Interface is laggy and inefficient. This has impacted our daily operations.,1,2024-06-27,g2,Vision Helpdesk - Satellite Desk,Enterprise,
Reports take too long to generate. This has impacted our daily operations.,2,2023-02-10,play_store,Vision Helpdesk - Service Desk,Mid-Market,
System performance drops with more users. We expected much better reliability.,2,2023-04-16,play_store,Vision Helpdesk - Service Desk,Enterprise,
Interface is laggy and inefficient.,2,2024-12-16,play_store,Vision Helpdesk - Help Desk,Mid-Market,
Interface is laggy and inefficient. This has impacted our daily operations.,2,2023-01-18,play_store,Vision Helpdesk - Service Desk,Enterprise,
Interface is laggy and inefficient. It’s very frustrating to deal with.,1,2023-03-06,play_store,Vision Helpdesk - Satellite Desk,Mid-Market,
Loading tickets takes too much time. It’s very frustrating to deal with.,1,2024-12-30,g2,Vision Helpdesk - Live Chat,Enterprise,
Loading tickets takes too much time. It’s very frustrating to deal with.,2,2024-10-09,g2,Vision Helpdesk - Live Chat,Small Business,
System performance drops with more users. This has impacted our daily operations.,1,2024-12-20,g2,Vision Helpdesk - Service Desk,Small Business,
Interface is laggy and inefficient. This has impacted our daily operations.,1,2023-10-31,softwareadvice,Vision Helpdesk - Satellite Desk,,
Reports take too long to generate.,2,2024-07-11,g2,Vision Helpdesk - Service Desk,Mid-Market,
Reports take too long to generate. It’s very frustrating to deal with.,2,2023-03-03,g2,Vision Helpdesk - Service Desk,Enterprise,
Reports take too long to generate. This has impacted our daily operations.,1,2023-11-24,play_store,Vision Helpdesk - Service Desk,Enterprise,
The platform is very slow during peak hours.,1,2024-03-13,play_store,Vision Helpdesk - Service Desk,Enterprise,
Interface is laggy and inefficient. This has impacted our daily operations.,2,2024-10-05,softwareadvice,Vision Helpdesk - Satellite Desk,Enterprise,
System performance drops with more users. It’s very frustrating to deal with.,1,2023-03-30,softwareadvice,Vision Helpdesk - Satellite Desk,Mid-Market,
Loading tickets takes too much time.,2,2024-02-13,g2,Vision Helpdesk - Live Chat,Small Business,
System performance drops with more users. We expected much better reliability.,2,2024-03-24,play_store,Vision Helpdesk - Satellite Desk,Small Business,
System performance drops with more users. This has impacted our daily operations.,1,2024-11-09,g2,Vision Helpdesk - Satellite Desk,Mid-Market,
The platform is very slow during peak hours.,1,2023-08-15,capterra,Vision Helpdesk - Live Chat,,
System performance drops with more users. This has impacted our daily operations.,2,2023-10-21,play_store,Vision Helpdesk - Service Desk,,
The platform is very slow during peak hours. This has impacted our daily operations.,2,2024-10-05,softwareadvice,Vision Helpdesk - Live Chat,Mid-Market,
The platform is very slow during peak hours. It’s very frustrating to deal with.,2,2024-03-05,capterra,Vision Helpdesk - Live Chat,Mid-Market,
Reports take too long to generate. We expected much better reliability.,1,2023-12-24,softwareadvice,Vision Helpdesk - Help Desk,Mid-Market,
Reports take too long to generate. It’s very frustrating to deal with.,1,2024-04-21,capterra,Vision Helpdesk - Help Desk,Small Business,
Reports take too long to generate. This has impacted our daily operations.,2,2024-07-01,g2,Vision Helpdesk - Satellite Desk,,
System performance drops with more users. This has impacted our daily operations.,1,2023-08-01,capterra,Vision Helpdesk - Satellite Desk,Mid-Market,
System performance drops with more users. We expected much better reliability.,1,2023-12-14,softwareadvice,Vision Helpdesk - Satellite Desk,Enterprise,
Reports take too long to generate. This has impacted our daily operations.,2,2023-10-13,play_store,Vision Helpdesk - Help Desk,Small Business,
Interface is laggy and inefficient. It’s very frustrating to deal with.,1,2023-11-08,g2,Vision Helpdesk - Live Chat,Mid-Market,
Interface is laggy and inefficient.,1,2024-08-05,softwareadvice,Vision Helpdesk - Live Chat,,
Reports take too long to generate.,2,2024-09-16,g2,Vision Helpdesk - Service Desk,Mid-Market,
The platform is very slow during peak hours. It’s very frustrating to deal with.,1,2023-02-21,capterra,Vision Helpdesk - Service Desk,Mid-Market,
Reports take too long to generate.,2,2024-02-21,capterra,Vision Helpdesk - Live Chat,Mid-Market,
